"","idx","obs"
"1",0,-29.1621925327698
"2",1,-8.86827644220232
"3",2,-28.776166458103
"4",3,-29.2223385700362
"5",4,7.82555845301855
"6",5,7.77317251494253
"7",6,-28.8309910191505
"8",7,-28.5048993245179
"9",8,7.37820992961626
"10",9,8.16442366694364
"11",10,7.52812586692127
"12",11,7.4059237657054
"13",12,7.53711404226722
"14",13,7.84354218166963
"15",14,-8.72769061220585
"16",15,-8.87306119181192
"17",16,-29.1593730191249
"18",17,7.55865411113672
"19",18,-8.38860972404377
"20",19,-28.7948164991798
"21",20,-29.0409350926374
"22",21,-29.1559841334601
"23",22,-28.9224269847257
"24",23,-29.3849880933825
"25",24,-29.0112006344987
"26",25,-9.01011943831014
"27",26,8.13066542231092
"28",27,-34.2439128514769
"29",28,7.74085327239925
"30",29,7.40416436066211
"31",30,-28.5731999315308
"32",31,-28.5886490119533
"33",32,-28.6278787337771
"34",33,7.99654891543526
"35",34,-28.9693556397116
"36",35,-28.6348988828767
"37",36,-8.3645623845551
"38",37,-28.845906128618
"39",38,7.45396976835507
"40",39,-28.6069931368069
"41",40,-28.609287166504
"42",41,-8.87394874868785
"43",42,-28.3207679181655
"44",43,7.51237389389197
"45",44,-28.7478167970129
"46",45,-29.5743851982072
"47",46,-28.9092962906197
"48",47,-28.5003915676808
"49",48,-29.0020587639873
"50",49,-9.06011304159444
